Tweet,HS,Abusive,Char_Length,Casefolding,Stopwords,Char_Length_Prep
Fadli Zon: Pembahasan Pilkada Tak Langsung Dikaji Mendalam Usai Pilpres,0,0,65,fadli zon pembahasan pilkada tak langsung dikaji mendalam usai pilpres,fadli zon pembahasan pilihan kepala daerah langsung dikaji mendalam pemilihan presiden,86
dekalarasi pilkada 2018 aman dan anti hoax warga jabon,0,0,87,dekalarasi pilkada 2018 aman dan anti hoax warga jabon,deklarasi pilihan kepala daerah 2018 aman anti hoaks warga jabon,64
USER USER The end he he krn satu agama aja byk perbedaan apalagi beda dan jg tdk ada dukungan akan susah udah kebayang jln terjalnya,0,0,61, the end he he krn satu agama aja byk perbedaan apalagi beda dan jg tdk ada dukungan akan susah udah kebayang jln terjalnya,the end he he agama perbedaan beda dukungan susah terbayang jalan terjalnya,75
USER Mata sipit sama bibir bentuk hati uhuy',0,0,19, mata sipit sama bibir bentuk hati uhuy ,mata sipit bibir bentuk hati uhuy,33
"Gue selalu inget aja bahwa kucing itu hewan kesayangan Rasul, walaupun kalian jijik atau merasa terganggu yaudah gausah pakai kekerasan. Mereka kan binatang kalian manusia strata kepintarannya ya dibawah kalian banget tapi setidaknya yang waras yang nger",0,0,127,gue selalu inget aja bahwa kucing itu hewan kesayangan rasul walaupun kalian jijik atau merasa terganggu yaudah gausah pakai kekerasan mereka kan binatang kalian manusia strata kepintarannya ya dibawah kalian banget tapi setidaknya yang waras yang nger,kucing hewan kesayangan rasul jijik terganggu pakai kekerasan binatang manusia strata kepintarannya banget waras nger,117
"USER USER USER USER USER USER Ingat ..... peristiwa PKI 65, keluarga korban Mash menuntut keadilan hingga saat ini akibat keluagara mereka yg di bantai pada saat itu. \n\n- kesusksesan TDK di ukur ketika menjadi",0,0,122, ingat peristiwa pki 65 keluarga korban mash menuntut keadilan hingga saat ini akibat keluagara mereka yg di bantai pada saat itu n n kesusksesan tdk di ukur ketika menjadi,peristiwa partai komunis indonesia 65 keluarga korban menuntut keadilan akibat keluarga bantai kesuksesan ukur,110
USER Mu melayu ke yahudi kak ? HAHAH',0,0,256, mu melayu ke yahudi kak hahah ,mu melayu yahudi kak haha,25
Aamiin YRA!!! SALAM GIE USER UTK PENCERAHAN BANGSA &amp; PERUBAHAN INDONESIA,0,0,248,aamiin yra salam gie utk pencerahan bangsa amp perubahan indonesia,amin rabbal alamin salam gie pencerahan bangsa amp perubahan indonesia,70
USER USER Ri lu nonton brodus cina ga?',0,0,115, ri lu nonton brodus cina ga ,ri menonton brodus cina,23
USER Kok ganti namanya jd hatstag ð???ð???ð??? pengen bgt ganti presiden ganteng yað???,0,0,142, kok ganti namanya jd hatstag pengen bgt ganti presiden ganteng ya ,ganti namanya tagar banget ganti presiden ganteng,49
"USER Negeri Perak hari ini menyatakan sokongan penuh dan tidak berbelah bahagi terhadap kepimpinan Perdana Menteri, Datoâ?? Seri USER #HebatkanNegaraku #BersamaBN - Datuk Seri R.S USER Presiden USER #DahulukanRakyat USER",0,0,49, negeri perak hari ini menyatakan sokongan penuh dan tidak berbelah bahagi terhadap kepimpinan perdana menteri dato seri hebatkannegaraku bersamabn datuk seri r s presiden dahulukanrakyat ,negeri perak sokongan penuh berbelah bahagi kepimpinan perdana menteri dato seri hebat negaraku bersamaan datuk seri r si presiden dahulukan rakyat,147
Mencari setitik cahaya dlm kegelapan terasa sulit tpi aku yakin aku pasti bisa menemukan nya dan insya allah aku sabar dlm pencarian ini',0,0,143,mencari setitik cahaya dlm kegelapan terasa sulit tpi aku yakin aku pasti bisa menemukan nya dan insya allah aku sabar dlm pencarian ini ,mencari setitik cahaya kegelapan sulit menemukan insya allah sabar pencarian,76
kalau sampailah aku meried sama dia mana mungkin gak bela etnis tionghoa sampe tetes darah penghabisan',0,0,120,kalau sampailah aku meried sama dia mana mungkin gak bela etnis tionghoa sampe tetes darah penghabisan ,sampailah menikah bela etnis tionghoa tetes darah penghabisan,61
""" Topeng monyet ke Ramayana?\n\nYa.\n\nYa.\n\nYa.\n\nYa. "" URL",0,0,192, topeng monyet ke ramayana n nya n nya n nya n nya url,topeng monyet ramayana,22
Beginilah Gencarnya Kampanye Jelang Pilkada - NET JATENG:,0,0,54,beginilah gencarnya kampanye jelang pilkada net jateng ,gencarnya kampanye jelang pilihan kepala daerah net jawa,56
HEH KENAPA GUE SIPIT AMAT',0,0,49,heh kenapa gue sipit amat ,he sipit,8
"Sambungan kuliah Maghrib khas bersama Syeikh Kurayyim Rajih, ketua ulama qurra Syria dan ustaz Nazmi ""smackdown"" sebagai penterjemah rasmi beliau. Lokasi masjid al-Muttaqin Wangsa Melawati..",0,0,128,sambungan kuliah maghrib khas bersama syeikh kurayyim rajih ketua ulama qurra syria dan ustaz nazmi smackdown sebagai penterjemah rasmi beliau lokasi masjid al muttaqin wangsa melawati ,sambungan kuliah maghrib khas syekh kurayyim rajih ketua ulama alquran suriah ustaz nazmi smackdown penerjemah rasmi beliau lokasi masjid al muttaqin wangsa melawati,165
Sejahat-jahat manusia ialah mereka yang suka mencari kesalahan dan kecelaan orang sebagaimana lalat mencari bangkai dari tempat2 yang busuk #QuranHour',0,0,54,sejahat jahat manusia ialah mereka yang suka mencari kesalahan dan kecelaan orang sebagaimana lalat mencari bangkai dari tempat2 yang busuk quranhour ,sejahat jahat manusia suka mencari kesalahan kecelaan orang lalat mencari bangkai busuk quranhour,97
Proyek smelter Freeport Indonesia ini bukan hal baru karena udah direncanain dari 2015 lalu pas Presiden Direktur Freeport Indonesia masih dijabat Maroef Sjamsuddin.,0,0,174,proyek smelter freepo indonesia ini bukan hal baru karena udah direncanain dari 2015 lalu pas presiden direktur freepo indonesia masih dijabat maroef sjamsuddin ,proyek smelter freepo indonesia direncanakan 2015 pas presiden direktur freepo indonesia dijabat maroef syamsuddin,114
Ngga kenal - kenal - kemudian asing lagi',0,0,93,ngga kenal kenal kemudian asing lagi ,kenal kenal asing,17
"RT USER: Sumber daya negara punya siapa menurut undang2? Rakyat yg susah, komplain dan perpendapat (dan itu dilindungi undang2), rakyatn\xe2\x80\xa6'",0,0,23, sumber daya negara punya siapa menurut undang2 rakyat yg susah komplain dan perpendapat dan itu dilindungi undang2 rakyatn xe2 x80 xa6 ,sumber daya negara undang undang rakyat susah komplain perpendapat dilindungi undang undang rakyatnya,101
USER USER USER Aja ditolak NU apa lg Ahok yg keturunan tionghoa dan nasrani\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,0,145, aja ditolak nu apa lg ahok yg keturunan tionghoa dan nasrani xf0 x9f x98 x82 xf0 x9f x98 x82 ,ditolak nu ahok keturunan tionghoa nasrani,42
USER Main taplak juga cadangan dia mah bocahnya',0,0,118, main taplak juga cadangan dia mah bocahnya ,main taplak cadangan bocahnya,29
Kurangnya pemberdayaan wanita DKI Jakarta bisa dilihat dari telaknya perbedaan warna muka dan warna tangan mpok sylvi DebatFinalPilkadaJKT,0,0,199,kurangnya pemberdayaan wanita dki jaka a bisa dilihat dari telaknya perbedaan warna muka dan warna tangan mpok sylvi debatfinalpilkadajkt,kurangnya pemberdayaan wanita daerah khusus ibukota jaka a telaknya perbedaan warna muka warna tangan empok sylvi debat final pemilihan kepala daerah jakarta,157
"Katolik berkiblat ke Vatikan. Wajar. Ga digugat. Lalu kenapa Islam berkiblat ke Mekkah (kebetulan saja Arab), manusia2 itu pada gerah? Anda Pancasila atau pelanggar Pancasila (sila ke 1 dan ke 5)???'",0,0,115,katolik berkiblat ke vatikan wajar ga digugat lalu kenapa islam berkiblat ke mekkah kebetulan saja arab manusia2 itu pada gerah anda pancasila atau pelanggar pancasila sila ke 1 dan ke 5 ,katolik berkiblat vatikan wajar digugat islam berkiblat makkah arab manusia manusia gerah pancasila pelanggar pancasila sila 1 5,128
"Evi Layanto siswi SD Katolik Karya Yosef Kelas 6B, 1983, istrinya Ronaldo Pardede yang sah.'",0,0,72,evi layanto siswi sd katolik karya yosef kelas 6b 1983 istrinya ronaldo pardede yang sah ,evi layanto siswi sekolah dasar katolik karya yosef kelas 6b 1983 istrinya ronaldo pardede sah,94
USER USER USER USER USER USER USER USER USER USER USER USER Bom di negara kita... Saat ini...\nAda lucunya kah..? \xf0\x9f\x98\x93',0,0,149, bom di negara kita saat ini nada lucunya kah xf0 x9f x98 x93 ,bom negara nada lucunya kah,27
RT USER: #ICYMI SWAT SFC selamatkan monyet proboscis URL URL,0,0,23, icymi swat sfc selamatkan monyet proboscis url url,in case you missed it swat sfc selamatkan monyet proboscis,58
yang belum tidur cepetan tidur nanti digigit onta hloo :D',0,0,87,yang belum tidur cepetan tidur nanti digigit onta hloo d ,tidur cepatan tidur digigit onta halo,37
USER USER Mniadi aktivisi itu memang unt mngkritisi kebijakan mngkoreksi langkah rezim yg kurang pas ataupun keliru ..speti halnya anda protes ...',0,0,39, mniadi aktivisi itu memang unt mngkritisi kebijakan mngkoreksi langkah rezim yg kurang pas ataupun keliru speti halnya anda protes ,aktivis mengkritisi kebijakan mengkoreksi langkah rezim pas keliru halnya protes,80
"USER SMA gw dlu Katolik, tp berasa SMA negeri. Jumlah Katolik, Kristen, Budha, Hindu, dan Islam hampir merata. haha'",0,0,223, sma gw dlu katolik tp berasa sma negeri jumlah katolik kristen budha hindu dan islam hampir merata haha ,katolik berasa negeri katolik kristen buddha hindu islam merata haha,68
"Pilkada Bandung, Nurul Arifin Janjikan Insentif untuk Marbot dan Guru PAUD USER #BandungGeulis #BandungHarmonis #bandungvotenuruli #calonwalikotabandung #calonwalikotabandung2018",0,0,38,pilkada bandung nurul arifin janjikan insentif untuk marbot dan guru paud bandunggeulis bandungharmonis bandungvotenuruli calonwalikotabandung calonwalikotabandung2018,pilihan kepala daerah bandung nurul arifin janjikan insentif marbut guru pendidikan anak usia bandung cantik bandung harmonis bandung memilih nuruli calon wali kota bandung calon wali kota bandung 2018,201
Haha w ngerasa jijik sm diri w sndr stlh melihat kmbali isi dm sm mantan w dirp haha alhamdulilah udh pny pcr inrl &amp; lbh bahagia gak fana\xf0\x9f\x98\x8c[]',0,0,226,haha w ngerasa jijik sm diri w sndr stlh melihat kmbali isi dm sm mantan w dirp haha alhamdulilah udh pny pcr inrl amp lbh bahagia gak fana xf0 x9f x98 x8c ,haha jijik sindir isi direct message mantan haha alhamdulillah pacar inrl amp bahagia fana,90
"BREAKING NEWS: ""USER MOHON KE PEMERINTAH TERMASUK SEMUA PIHAK TERKAIT PENEGAKAN HUKUM DI INDONESIA UNTUK BEBASKAN&amp;PULIHKAN NAMA BAIK SEMUA WARGA NEGARA INDONESIA DIVONIS PENJARA MENISTA AGAMA,KARENA MENURUT DOSEN USER:""KITAB SUCI ITU FIK",0,0,151,breaking news mohon ke pemerintah termasuk semua pihak terkait penegakan hukum di indonesia untuk bebaskan amp pulihkan nama baik semua warga negara indonesia divonis penjara menista agama karena menurut dosen kitab suci itu fik,istirahat news mohon pemerintah terkait penegakan hukum indonesia bebaskan amp pulihkan nama warga negara indonesia divonis penjara menista agama dosen kitab suci fik,166
"pantesan namanya kaya gak asing, ternyata Lalu...'",0,0,60,pantesan namanya kaya gak asing ternyata lalu ,namanya kayak asing,19
"Temanku USER maju sbg caleg DPR RI dapil kota bekasi dan depok dr PSI. Ayo Sus semangat. Perjuangkan nasib rakyat agar lbh sejahtera, berkeadilan, berpendidikan merata dll sehingga negara ini bs lbh humanis, toleran dan bhineka.'",0,0,25,temanku maju sbg caleg dpr ri dapil kota bekasi dan depok dr psi ayo sus semangat perjuangkan nasib rakyat agar lbh sejahtera berkeadilan berpendidikan merata dll sehingga negara ini bs lbh humanis toleran dan bhineka ,temanku maju calon legislatif dewan perwakilan rakyat ri daerah pemilihan kota bekasi depok psi ayo sus semangat perjuangkan nasib rakyat sejahtera berkeadilan berpendidikan merata negara humanis toleran bineka,210
Hari-hari ini banyak orang menjadikan agama sbg sumber kemarahan. Kita perlu menampilkan agama sbg sumber kasih dan binadamai. Sila baca buku ini. GRATIS!; ; Ketika Agama Bawa Damai ~ USER USER USER USER USER USER,0,0,119,hari hari ini banyak orang menjadikan agama sbg sumber kemarahan kita perlu menampilkan agama sbg sumber kasih dan binadamai sila baca buku ini gratis ketika agama bawa damai ,orang menjadikan agama sumber kemarahan menampilkan agama sumber kasih bina damai sila baca buku gratis agama bawa damai,120
"USER USER USER USER USER Eehm....justru kristen katolik dan kristen protestan udah membumi nusantara duluan mas2.... Ibadahnya, kitabnya, lagunya, udah gaya jawa, batak, flores, toraja ds",0,0,111, eehm justru kristen katolik dan kristen protestan udah membumi nusantara duluan mas2 ibadahnya kitabnya lagunya udah gaya jawa batak flores toraja ds,hem kristen katolik kristen protestan membumi nusantara mas mas ibadahnya kitabnya lagunya gaya jawa batak flores toraja ds,123
USER USER Naila kita jarang interaksi eh kamunya dah uv :( si mata sipit bukan sih ? Wkwk',0,0,127, naila kita jarang interaksi eh kamunya dah uv si mata sipit bukan sih wkwk ,naila jarang interaksi eh kamunya ultra violet mata sipit,57
Sukseskan Pilkada Tanpa HOAX. #galerydiskominfometro #kotametro #kotametronews #ayokedamraman,0,0,208,sukseskan pilkada tanpa hoax galerydiskominfometro kotametro kotametronews ayokedamraman,sukseskan pilihan kepala daerah hoaks galeri dinas komunikasi informatika kota metro kota metro news ayo dam raman,114
USER Klo aku pura pura bisu #TikaUdjoOnBahanaFM',0,0,150, klo aku pura pura bisu tikaudjoonbahanafm ,pura pura bisu tika udjo on bahana fm,37
USER Ngobrol ayok ama aku yang cantiq dri cina ini wkwk',0,0,101, ngobrol ayok ama aku yang cantiq dri cina ini wkwk ,mengobrol ayo cantik cina,25
"USER kok kayak tau ya kak :' apa ya kak :' ga asing gitu(?)""",0,0,114, kok kayak tau ya kak apa ya kak ga asing gitu ,kayak tau kak kak asing,23
"USER USER USER Shrnya ustd itu meluruskn orng yg salh bukn orng salh di demo,jdi skrng tau kwalitas ustd2 bgusan ustd saya wlpun bertani g pki mobil mewh'",0,0,131, shrnya ustd itu meluruskn orng yg salh bukn orng salh di demo jdi skrng tau kwalitas ustd2 bgusan ustd saya wlpun be ani g pki mobil mewh ,ustaz meluruskan orang salah orang salah demo tau kualitas ustaz ustaz bagusan ustaz be ani partai komunis indonesia mobil mewah,128
Allahu Akbar! Ketua Umum FPI Laporkan Ade Armando ke Bareskrim!,0,0,66,allahu akbar ketua umum fpi laporkan ade armando ke bareskrim ,allahu akbar ketua front pembela islam laporkan adek armando badan reserse kriminal,83
"USER Pas masih audisi keknya, dia rambut panjang item terus sipit. Dia ngedancenya lincah bgt kek ulet bulu ngel ngel gt dahh\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'",0,0,122, pas masih audisi keknya dia rambut panjang item terus sipit dia ngedancenya lincah bgt kek ulet bulu ngel ngel gt dahh xf0 x9f x98 xad xf0 x9f x98 xad xf0 x9f x98 xad ,pas audisi rambut hitam sipit menarinya lincah banget kayak ulet bulu ngel ngel dah,83
"USER Sama kk\nDari sd udh di rasis in aku\nKrn aku batak dan kristen\nPas baru2 di jawa ampun dah, manggil gw aja pake nama adat. Itu baru yg adat belum yg masalah agama.\nTapi sekarang udh agak jarang kaya gitu sih\nJadi aku cuma bisa nyaranin s",0,0,31, sama kk ndari sd udh di rasis in aku nkrn aku batak dan kristen npas baru2 di jawa ampun dah manggil gw aja pake nama adat itu baru yg adat belum yg masalah agama ntapi sekarang udh agak jarang kaya gitu sih njadi aku cuma bisa nyaranin s,kakak sekolah dasar racist in batak kristen pas jawa ampun memanggil pakai nama adat adat agama jarang kayak menyarankan si,123
"ALHAMDULILLAH.,.,",0,0,35,alhamdulillah ,alhamdulillah,13
USER Padahal dulu mah smgt kalo masalah ngewe skrg udh males gue mah',0,0,61, padahal dulu mah smgt kalo masalah ngewe skrg udh males gue mah ,semangat ngewe malas,20
USER USER USER Sini masuk kristen dis. Tenang aja baptis gratis ga bayar dapet susu pula',0,0,212, sini masuk kristen dis tenang aja baptis gratis ga bayar dapet susu pula ,masuk kristen diskualifikasi tenang baptis gratis bayar susu,60
Namun kau masih bisu diam seribu bahasa\n#DanHatiKecilKuBicara',0,0,126,namun kau masih bisu diam seribu bahasa n danhatikecilkubicara ,bisu diam seribu bahasa hati kecilku bicara,43
"USER Wonu oppa kenapa matanya sipit banget? '^'""",0,0,238, wonu oppa kenapa matanya sipit banget ,wonu oppa matanya sipit banget,30
"USER Sejak saya jadi jurnalis sampai kini,saya baru mendengar ada Islam Nusantara. Jangan2_nanti ada yg iseng bilang Hindu Nusantara,Kristen Nusantara,Budha Nusantra dst. Islam adalah Agama sama seperti Agama lainnya. Ga ada tuh embel2.'",0,0,190, sejak saya jadi jurnalis sampai kini saya baru mendengar ada islam nusantara jangan2 nanti ada yg iseng bilang hindu nusantara kristen nusantara budha nusantra dst islam adalah agama sama sepe i agama lainnya ga ada tuh embel2 ,jurnalis mendengar islam nusantara iseng bilang hindu nusantara kristen nusantara buddha nusantara islam agama sepe i agama embel embel,135
USER Ini internasional sih Nan. Kayaknya TKI gitu dari naga naganya sih \xf0\x9f\xa4\xa3',0,0,89, ini internasional sih nan kayaknya tki gitu dari naga naganya sih xf0 x9f xa4 xa3 ,internasional nan kayaknya tenaga kerja indonesia naga naganya,62
Reklamasi Jakarta Akan Diatur Lewat Revisi Perpres Jabodetabekpunjur,0,0,38,reklamasi jaka a akan diatur lewat revisi perpres jabodetabekpunjur,reklamasi jaka a diatur revisi peraturan presiden jakarta bogor depok tangerang bekasi puncak cianjur,101
"USER Aku jg gendut si nder tp ya drpd mikirin omongan orang lain mulu mending pelan pelan ngerawat diri,gapapa gendut asal bisa ngerawat diri maaah skrg aku pede pede aja sm diri aku sendiri yuhu'",0,0,76, aku jg gendut si nder tp ya drpd mikirin omongan orang lain mulu mending pelan pelan ngerawat diri gapapa gendut asal bisa ngerawat diri maaah skrg aku pede pede aja sm diri aku sendiri yuhu ,gendut nder memikirkan omongan orang mulu mending pelan pelan merawat gendut merawat maaah percaya percaya iya,110
Wajib dengar,0,0,39,wajib dengar,wajib dengar,12
USER Ya kan gua emang sipit :)',0,0,253, ya kan gua emang sipit ,sipit,5
"""Dan orang-orang yang kafir dan mendustakan ayat-ayat Kami, maka bagi mereka azab yang menghinakan."" (QS Al Hajj: 57)'",0,0,148, dan orang orang yang kafir dan mendustakan ayat ayat kami maka bagi mereka azab yang menghinakan qs al hajj 57 ,orang orang kafir mendustakan ayat ayat azab menghinakan qs al hajj 57,70
"USER Akupun merasa matanya mengecil setelah lama pakai kacamata, dan katanya kalau bangun tidur tambah sipit \xf0\x9f\x98\x81'",0,0,29, akupun merasa matanya mengecil setelah lama pakai kacamata dan katanya kalau bangun tidur tambah sipit xf0 x9f x98 x81 ,akupun matanya mengecil pakai kacamata bangun tidur sipit,57
USER USER Dulu mercun kecik\xc2\xb2 lagi...bunyi tak kuat sngt wei....skrg mcm\xc2\xb2 ade....bunyi dh m mcm bom....',0,0,42, dulu mercun kecik xc2 xb2 lagi bunyi tak kuat sngt wei skrg mcm xc2 xb2 ade bunyi dh m mcm bom ,mercun bunyi kuat hai adek bunyi bom,36
Ketipu dong mereka... Duh.,0,0,52,ketipu dong mereka duh ,tertipu aduh,12
Mencari Huruf Hijaiyah-Dal-Anak Islam-Bersama Jamal Laeli; ; Assalamualaikum adik-adik... ; ; Mari kita lihat...,0,0,38,mencari huruf hijaiyah dal anak islam bersama jamal laeli assalamualaikum adik adik mari kita lihat ,mencari huruf hijaiyah dal anak islam jamal laeli assalamualaikum adik adik mari lihat,86
Bom takjil',0,0,82,bom takjil ,bom takjil,10
KPK Panggil Sederet Mantan Anggota DPR Terkait e-KTP',0,0,246,kpk panggil sederet mantan anggota dpr terkait e ktp ,komisi pemberantasan korupsi panggil sederet mantan anggota dewan perwakilan rakyat terkait e kartu tanda penduduk,114
USER udah sipit ini\nga bisa disipitin lagi \n\n( \xcd\xa1\xc2\xb0 \xca\x96\xcc\xaf \xcd\xa1\xc2\xb0)\n\xc2\xa0 \xe3\x81\x8f\xe3\x80\x80|\xe3\x80\x80)\xe3\x81\xb8\n\xe3\x80\x80\xe3\x80\x80\xc2\xa0 \xe3\x80\x89',0,0,145, udah sipit ini nga bisa disipitin lagi n n xcd xa1 xc2 xb0 xca x96 xcc xaf xcd xa1 xc2 xb0 n xc2 xa0 xe3 x81 x8f xe3 x80 x80 xe3 x80 x80 xe3 x81 xb8 n xe3 x80 x80 xe3 x80 x80 xc2 xa0 xe3 x80 x89 ,sipit disipitkan xca xcc,24
Paparan Kapolres Bikin Kapolda Kepri Yakin Pilkada Tanjungpinang Aman dan Netral -,0,0,156,paparan kapolres bikin kapolda kepri yakin pilkada tanjungpinang aman dan netral ,paparan kepala kepolisian resor bikin kepala kepolisian daerah kepulauan riau pilihan kepala daerah tanjung pinang aman netral,126
"Dibalik Insiden Heli Jatuh, PT IMIP Pekerjakan 3.000 WN China",0,0,32,dibalik insiden heli jatuh pt imip pekerjakan 3 000 wn china,dibalik insiden helikopter jatuh pt indonesia morowali industrial park pekerjakan 3 000 warga negara cina,105
"Bunyi klik mouse, suara ketikan keyboard, musik hampir 8 jam non stop, mata perih, bokong panas, lengan nyilu. \n#jenuh'",0,0,79,bunyi klik mouse suara ketikan keyboard musik hampir 8 jam non stop mata perih bokong panas lengan nyilu n jenuh ,bunyi klik tikus suara ketikan keyboard musik 8 jam non stop mata perih bokong panas lengan ngilu jenuh,103
"USER GD x CL\nTOP x BOM\nSeungri x Raline\nGary x Jihyo (tp ini udh mustahil:"""")'",0,0,154, gd x cl ntop x bom nseungri x raline ngary x jihyo tp ini udh mustahil ,gede x cl top x bom seungri x raline gary x jihyo mustahil,58
USER USER bantu jawab wkwk kata putri. Rima sama daniel sibuk ngurusin osis jd ga ikut join. Nah klo aya kayaknya makin sibuk jd makelar ngurusin dua anak tuyul alias gil dan OJ /sotau bgt aku',0,0,76, bantu jawab wkwk kata putri rima sama daniel sibuk ngurusin osis jd ga ikut join nah klo aya kayaknya makin sibuk jd makelar ngurusin dua anak tuyul alias gil dan oj sotau bgt aku ,bantu putri rima daniel sibuk mengurus organisasi siswa intrasekolah join kayaknya sibuk makelar mengurus anak tuyul alias gila oj sok tau banget,145
Selamat Pagi.; Jawaban USER Atas Politisasi Puisi yang Menimpa Dirinya. ; ; Calon gubernur Jawa Tengah Ganjar Pranowo tidak ingin informasi hoaks menjadi arus utama informasi yang diterima masyarakat dalam masa pilkada. ; #GanjarYasin,0,0,26,selamat pagi jawaban atas politisasi puisi yang menimpa dirinya calon gubernur jawa tengah ganjar pranowo tidak ingin informasi hoaks menjadi arus utama informasi yang diterima masyarakat dalam masa pilkada ganjaryasin,selamat pagi politisasi puisi menimpa calon gubernur jawa ganjar pranowo informasi hoaks arus utama informasi diterima masyarakat pilihan kepala daerah ganjar yasin,164
"RT USER: 1. Saya ada satu cerita dari seorang cowok yang tinggal di China. Sebelum saya mulai bercerita, saya cuma mau pesan, jadi\xe2\x80\xa6'",0,0,43, 1 saya ada satu cerita dari seorang cowok yang tinggal di china sebelum saya mulai bercerita saya cuma mau pesan jadi xe2 x80 xa6 ,1 cerita cowok tinggal cina bercerita pesan,43
"Pada Sabtu (21/4/2018) pagi, Masyarakat Adat Baduy akan kembali melanjutkan perjalanan menuju Kantor Gubernur Banten di Kawasan Pusat Pemerintahan Provinsi Banten (KP3B) di Curug, Kota Serang. #SebaBaduy2018; DM",0,0,147,pada sabtu 21 4 2018 pagi masyarakat adat baduy akan kembali melanjutkan perjalanan menuju kantor gubernur banten di kawasan pusat pemerintahan provinsi banten kp3b di curug kota serang sebabaduy2018 dm,sabtu 21 4 2018 pagi masyarakat adat badui melanjutkan perjalanan kantor gubernur banten kawasan pusat pemerintahan provinsi banten kawasan pusat pemerintahan provinsi banten curug kota serang seba baduy 2018 direct message,223
Trimakasih ya allah engkau tlah tunjukan kebesaranmu... Engkau tlah membukakan mata hatiku yg buta krn cinta...trimakasih tuhan engkau masih menolongku..',0,0,13,trimakasih ya allah engkau tlah tunjukan kebesaranmu engkau tlah membukakan mata hatiku yg buta krn cinta trimakasih tuhan engkau masih menolongku ,terima kasih allah engkau tunjukkan kebesaranmu engkau membukakan mata hatiku buta cinta terima kasih tuhan engkau menolongku,125
Barisan Gus Sholah (BaGusS) pulau Madura sudah merapatkan diri untuk memenangkan pasangan Calon Gubernur Khofifah Indar Parawansa dan Emil Elistianto Dardak. BaGusS #KhofifahEmilJatimSatu,0,0,70,barisan gus sholah baguss pulau madura sudah merapatkan diri untuk memenangkan pasangan calon gubernur khofifah indar parawansa dan emil elistianto dardak baguss khofifahemiljatimsatu,barisan gus sholatu bagus pulau madura merapatkan memenangkan pasangan calon gubernur khofifah indar parawansa emil elistianto dardak bagus khofifah emil jawa timur,164
"USER Karir yg cemerlang di TNI,dan terperangkap di rejim yg penuh dusta...\nselamat hari lahir USER'",0,0,67, karir yg cemerlang di tni dan terperangkap di rejim yg penuh dusta nselamat hari lahir ,karir cemerlang tentara nasional indonesia terperangkap rejim penuh dusta selamat lahir,87
5 Ragam Seni dalam Budaya Batak Toba,0,0,91,5 ragam seni dalam budaya batak toba,5 ragam seni budaya batak toba,30
"Penyerapan dana desa pada tahun 2015 dan 2016 diprioritaskan untuk pembangunan infrastruktur. Di tahun 2017 ini, menurutnya penyerapan dana desa diprioritaskan untuk percepatan ekonomi desa. #Jokowi2Periode",0,0,155,penyerapan dana desa pada tahun 2015 dan 2016 diprioritaskan untuk pembangunan infrastruktur di tahun 2017 ini menurutnya penyerapan dana desa diprioritaskan untuk percepatan ekonomi desa jokowi2periode,penyerapan dana desa 2015 2016 diprioritaskan pembangunan infrastruktur 2017 menurutnya penyerapan dana desa diprioritaskan percepatan ekonomi desa jokowi periode,162
"Buka twitter lagi demi informasi, karena denger-denger ada benda mencurigakan yang diduga bom ditemukan di Barel UI. Stay save kang warteg enak, kang cilung, anak kost &amp; warga sekitar Barel..'",0,0,23,buka twitter lagi demi informasi karena denger denger ada benda mencurigakan yang diduga bom ditemukan di barel ui stay save kang wa eg enak kang cilung anak kost amp warga sekitar barel ,buka twitter informasi dengar dengar benda mencurigakan diduga bom ditemukan barel oi stay save kang wa eg enak kang cilung anak indekos amp warga barel,152
Kamu tau gak ? Sejak kenal kamu bawaannya pengen belajar terus deh. Belajar jadi yang terbaik buat kamu.',0,0,105,kamu tau gak sejak kenal kamu bawaannya pengen belajar terus deh belajar jadi yang terbaik buat kamu ,tau kenal bawaannya belajar deh belajar terbaik,47
USER Dia ga pernah denger Hindu Bali sama Kristen Jawa ya wkwkwk',0,0,22, dia ga pernah denger hindu bali sama kristen jawa ya wkwkwk ,dengar hindu bali kristen jawa,30
USER USER USER wah berarti pernah makan bareng sama orang yahudi ya?benar ngga sih kemana pun mereka singgah suatu tempat kalo makan bawa alat makan sendiri? sekedar tanya sepertinya tau tentang orang yahudi',0,0,89, wah bera i pernah makan bareng sama orang yahudi ya benar ngga sih kemana pun mereka singgah suatu tempat kalo makan bawa alat makan sendiri sekedar tanya sepe inya tau tentang orang yahudi ,bera i makan bareng orang yahudi kemana singgah makan bawa alat makan sepe inya tau orang yahudi,96
