,Tweet,HS,Abusive,Neutral
711,yakin gabung sokong kesan tolong tolong ranah nikmat usaha bangsa agama negara sokong pakat harap,0,0,1
712,alquran kitab sampah bahaya kacau,1,1,0
713,gila jual pc jucan 100 pikir wkwk edan,0,1,0
714,sadar lepas sepatu kaos kaki bau banget woiii ampun kayak ambu silit,0,1,0
715,najis sok banget jutek iyuuuh yanyk,1,1,0
716,kali masuk surga kecuali orang orang yahudi nasrani angan angan kosong belaka qs 2 111,0,0,1
717,mata sipit bilang sipit macam but i just love my eyes sok much,0,0,1
718,bubar dewan wakil rakyat komisi berantas korupsi bodoh,1,1,0
719,berondong kontol cakap crot,0,1,0
720,ramai bisu buang malu takut kepala tembus peluru,0,0,1
721,taeyong nct cina hehe hujat please dapat fanbase terima kasih cina gede banding member terima kasih istirahat lihat terima kasih,0,0,1
722,atur presiden jokowi atur presiden susilo bambang yudhoyono buka mata lihat bacot bodoh bodoh ikut,1,1,0
723,islam larang kaum lelaki rupa kaum wanita pakai hias perilaku,0,0,1
724,kuala lumpur ayat al alquran jadi hujah ulama haram pilih muslim wakil rakyat teliti rujuk orang kafir musuh islam anut,0,0,1
725,tolak atur presiden tenaga kerja asing tolak atur presiden tenaga kerja asing 2019 ganti presiden 2019 presiden hai mahasiswa indonesia hadiah lipstik kolor kakek tukang becak,1,0,0
726,kelakar haha klaka pon cerita cinta monyet sekolah tengah,0,0,1
727,diam buaya,0,1,0
728,dukung rejim 2 periode viralkan ceramah wawancara tuan guru bajang,0,0,1
729,anak pmr calon dokter cupu,0,0,1
730,anggota dewan wakil rakyat pamer dungu biadab islam alquran merintahkan penggal kafir laksana bilang ham,1,1,0
731,hina keluarga jokowi langsung ciduk gilir hina prabowo susilo bambang yudhoyono biar,1,0,0
732,bani kocak dukung siwanbango bego,1,1,0
733,bincang akhir presiden,0,0,1
734,haha silvy oh silvy cacing ah wkwk debat final pilih kepala daerah jakarta,1,1,0
735,ayo kawan berangkat delman onta,0,0,1
736,gubernur patuh lapor lapor harta kaya selenggara negara ganjar yasin 1 ganjar yasin,0,0,1
737,bukti radikal an hati front bela islam bukti orasi orasi hati front bela islam fitnah caci maki perintah polisi republik indonesia ulama kiai kiai dasar otak bebek pura pura buta tuli isi otak junj,1,1,0
738,maksud jor joran pinjam ajaib n1 rebut simpati rakyat bombardir media 51 freepo milik indonesia n2 isu got sulit goreng be ransformasi rezim main teknologi got tin,0,0,1
739,6 jam jalan bang adem wkwk onta,0,0,1
740,bahas islam rusak nilai kuat karakter revitalisasi didik nilai,1,0,0
741,bagus pakai petisi lengser jokowi kembali ahok cipinang,1,0,0
742,moga etnis cina indonesia duduk perintah kayak singapura,1,0,0
743,monyet benar mati,0,1,0
744,pandai pandai sembunyi bangkai cium bau haha,0,0,1
745,islam kitab suci logika jatuh palung jawa model tau a i fiksi kamus bahasa indonesia,0,0,1
746,raja salman citra,1,0,0
747,edukasi manusia manusia udik sepe i,1,1,0
748,muslim katolik buddha hindu kristen jawa sumatra papua konsekuensi muslim jawa bineka negara satu republik indonesia pancasila konsekuensi orang indonesia,0,0,1
749,tolol hubung rumah tangga urus kerja cakap menteri pecat gubernur jaka a karuan sebentar hancur jaka a,1,1,0
750,bi dorong biaya syariat bangun,0,0,1
751,moga moga berkah mohon perhati sektor sektor dunia usaha sulit takut mohon presiden blusuk lembaga bijak ada barang jasa perintah rasa hambat departemen sehat polisi suka ganggu,0,0,1
752,cowok burung cewek cewek nada nada transgender indonesia nyanyi,1,0,0
753,indonesia jajah cina,1,0,0
754,bubar dewan wakil rakyat butuh,1,0,0
755,tertawa tai gampar,1,1,0
756,fadli timbang kadar iman pakai timbang sayur kadar iman tuan guru bajang fadli dokter gigi bawa bunga makam diri sosialis komunis,0,0,1
757,cocot cocot cocot 2019 bubar gerindra,1,1,0
758,ayo ngewe,0,1,0
759,januari 1998 bilang anti suha o gera komunis,0,0,1
760,sok bijak mata lihat bobrok hukum rakyat nilai bego lihat 2019 ganti presiden,0,1,0
761,burma buddha teroris,1,0,0
762,hooo bego haha,0,1,0
763,wkwk trigger bani onta,1,1,0
764,berengsek mantan one thing bout her suka mulut filter sok jujur,1,1,0
765,ustaz gemar amp gerak olah raga sepeda bekas mantap 20 pks asyik,0,0,1
766,hehe kampang fandom,0,1,0
767,onta,0,0,1
768,orang orang bawa bom aku ketes pol kali hehe kabar ronald,0,0,1
769,akhlak mulia presiden be emu kiai pinisepuh gulung lengan kemeja hormat tabik,0,0,1
770,ios anjing,0,1,0
771,demo jokowi tendang palkjihun dunia,1,0,0
772,jelek udik,1,1,0
773,muak fitnah prabowo,1,0,0
774,kota salatiga jawa kristen 1 salatiga,0,0,1
775,iklan ahok jahat rezim jokowi kampret setan iblis dajjal bangkit kubur gembira pesta pora belenggu,1,1,0
776,marak orang sipit masuk indonesia alih hati xb2lah syiah ah rafidhah biang kerok ronta kudeta negara muslim ahlusunah dunia,1,0,0
777,ketua dewan wakil rakyat dorong inspirasi kreatif perintah sesuai budaya pancasila,0,0,1
778,gubernur ahmad heryawan ukir sejarah bandara super megah ajati bangun biaya mandiri anggar dapat belanja negara murni kelola perintah provinsi jawa barat sejarah infrastruktur indonesia,0,0,1
779,kristen nusantara alir kristen gera cegah paham radikalisme bumi nusantara spe i hal nu biar nu main tunggal cegah paham radikalisme negara satu republik indonesia cinta mari ter,0,0,1
780,kayak tai,1,1,0
781,lt be anya laku hidup be emu pria asing sebal mana samping nada bicara sang teruna angie senang pria panggil non menge i,0,0,1
782,jago bakar isu partai komunis indonesia komunis,1,0,0
783,waspada jawa indikasi mobilisasi massa jawa tamasya pilih kepala daerah temu panitia awas brebes 1 nkk 946 anggota keluarga,0,0,1
784,joko populer pro nas jakarta ahok mw kalah proyek proyek jakarta 1 bangun selesai bangun ruas ruas utama dekat cebong goblok salah ani,1,1,0
785,bilang suami cengeng suka blok orang oke politis top mantan tim sukses kafir nista agama laku takut liberal isan ngehek,0,0,1
786,anak anjing kampang,1,1,0
787,bani kampret bani kecebong pilih bani adam manusia,1,1,0
788,kampret bro siang lollll,0,1,0
789,hai kunyuk paham prabowo subianto calon presiden salah presiden play station mem,1,1,0
790,presiden joko widodo putus realisitis kejar bangun proyek strategis nasional play station network,0,0,1
791,rezim sales rezim tipu citra palsu,1,1,0
792,jijik cowok cowok pakai baju merah muda tonton video bokep cewek kaki mungil pakai kaos kaki paha warna merah muda pakai baju merah muda paha pas buka isi titit asuuuuu,0,1,0
793,sungguh rezim kocak indonesia sekarat umat muslim pilah allah subhanahu wa taala golong muslimin munafik,1,0,0
794,jancuk,0,1,0
795,nyinyir hijrah tutup koreng,1,1,0
796,pakai paksa paksa jokowi kembali duduk rakhine prabowo anggur politikus anggur omong ngawur,1,0,0
797,jatuh musyrik tar masuk neraka,0,0,1
798,damping jokowi harlah gera mahasiswa islam indonesia bandung cak imin jaka a pesawat presiden presiden join 2019 cak imin the next wakil presiden join 2019,0,0,1
799,teknis kembali straight etis bilang sakit mantan putus jalur salah he bro alami mantan putus mantan gu,0,0,1
800,jual kaos laku isu partai komunis indonesia duh maju,0,0,1
801,jokowi ahok te unda penjara,1,0,0
802,rela antre ribu lamar buru lowong kerja gedung small and medium enterprises and cooperatives,0,0,1
803,bahasa arab tuhan maha esa pancasila bahasa indonesia,1,0,0
804,debat surat pemberitahuan tahun hindar sejarah gereja catat pecah pe gereja konsili yerusalem tradisi yahudi ajar kristiani,0,0,1
805,tim sukses anies sandi mentwit kacau sok jago,1,0,0
806,kabar bos bos ai dukung menteri perempuan komunis makan,0,0,1
807,cari yeoja chara seksi lonte suka spam pic ngentot rep like draxe,0,1,0
808,kicau tolol goblok tolol pilih,1,1,0
809,oi turonggo bom kajakkk,0,0,1
810,inggris widjanarko abdi hidup seni budaya sosial,0,0,1
811,tahu prambanan candi hindu kelompok candi dieng candi ungar gedong sanga borobudur candi buddha kelompok sewu kalas mendut,0,0,1
812,wangi kayak mbak kunti,0,0,1
813,bong dungu video 31 detik langsung ambil simpul heran dungu kolam,1,1,0
814,tau budaya badui rencana sabtu minggu 14 15 april 2018 paling habis rp300 000 an kontak jalan bareng male trip,0,0,1
815,haha order demo nasi bungkus baik gizi idiot,0,1,0
816,generasi tinja bahagia pimpin koar koar anti asing jaman pilih kepala daerah selesai pilih kepala daerah ikut bela tinja asing enak,1,1,0
817,anak anak partai komunis indonesia muncul ikut jejak bapak,1,0,0
818,sang maestro sang calon presiden calon wakil presiden ri 1 pintar pro orang otoriter,0,0,1
819,hadap karno beliau jatuh jabat daulat indonesia keras tolak modal asing freepo 51,0,0,1
820,ava jelek mentwit sa ramai set kontol kepala mata,0,1,0
821,haha babi migrain plak twit caring babi iya hg reply twit lepas keluar brim good timing,1,1,0
822,untung untung aku komunis aku ateis,0,0,1
823,bule rezim jokowi pilih saham 51 38 2021 angkat kaki bumi negara satu republik indonesia,0,0,1
824,palestina fakta 29 november 1947 pbb tuju mandat britania raya palestina resolusi pbb 181 dukung 33 negara 13 negara tolak 10 netral wilayah tanah palestina,0,0,1
825,inherit agama bro nasib anak islam haha,0,0,1
826,bikin puyeng kepala prabowo amin rais om nada nada bicara mutu,1,0,0
827,ganyang partai komunis indonesia mari dukung prabowo 2019,1,0,0
828,sehat cacat,0,1,0
829,ku khawatir tenaga kerja asing angkat senjata kuasa desa singgah markas wilayah indonesia timur langsung,0,0,1
830,takut tim komunis komisi berantas korupsi tuan guru bajang serah k aku zionis pkip,0,0,1
831,beli senang saudara beli senang ajar hindu bal tambah wawas karya karya gede prama tarik baca luas wawas,0,0,1
832,lo orang suka nyinyir pecun lini suka postingan akun open bo,0,0,1
833,buang islam sakit baik manusia,1,0,0
834,etnis cina juang khianat antek belanda,1,0,0
835,lele jamban kuning kuning,0,0,1
836,malam kepala badan bina ideologi pancasila bicara menteri agama rektor universitas islam negeri sumatra utara habib jindan bin novel aji indonesia indonesia budaya universitas islam negeri sumatra utara medan 11 4 18,0,0,1
837,bupati jember harap jfc 2018 semangat geliat ekonomi rakyat baca lengkap,0,0,1
838,bunuh musuh bunuh minion bunuh le bunuh monster hutan assist hancur turet ambil ml atm wkwk kampret xd,0,1,0
839,ahok si mulut jamban tokoh nilai bahasa indonesia norma etika 0 tai kucing,1,1,0
840,mowaa warga nias menang djarot syiar pilih kepala daerah sumatra utara 27 juni nias pilih djarot sihar,0,0,1
841,jir dahak wkwk tolol,1,1,0
842,terima kasih jokowi moga presiden bijak amin,0,0,1
843,jawab goblok mas jaka sembung bawa sepeda sekolah bawa golok gila orang tua,1,1,0
844,hebat maksud tuju sensitif basa basi urung patah silaturahmi klarifikasi orang jemaah viral budaya toleransi timur eksistensi,0,0,1
845,soeha o komunis kuasa negeri agama sepe i,0,0,1
846,undang undang anti terorisme sah dewan wakil rakyat aparat aman milik payung hukum be indak rang teroris,0,0,1
847,ahok tai fitnah tukang caci maki perempuannn anjing ahok tumbang debat final pilih kepala daerah jakarta,1,1,0
848,fungsi goods and services tax kurang beban gantung hasil petroleum negara lagi ide laksana goods and services tax datang bank negara i bn gelombang biru,0,0,1
849,sikap takut rezim tunjuk presidential threshold jumat berkah,0,0,1
850,ridwan kamil hebat top kayak ahok tukang nista agama koruptor,1,1,0
851,titah ku gunawan asri aku kunyuk nu kena kehed,0,1,0
852,muslim benar allah subhanahu wa taala muhammad bejat nabi,1,1,0
853,main lengser jokowi hasil ganti presiden sepe i o ganti habibie,1,0,0
854,media sosial presiden soeha o lengser jokowi,1,0,0
855,cermat deh pedean mules toilet toilet tai tai,0,0,1
856,anjing lebay geblek,1,1,0
857,ambisi kuasa sah sah bilang otoriter,1,0,0
858,hem kayak turun pakde akal sehat jalan,1,0,0
859,heran setan iblis kabur takut dengar azan makhluk allah anteng dengar azan pura pura budek kuping kalah setan iblis,1,1,0
860,ayu mubah sedekah bumi lempar lemang info budaya warga desa ayu gelar tradisi sedekah bumi buat bakar lemang tradisi budaya rutin laksana,0,0,1
861,aset negara jual ruhut hebat impor pangan rajalela bahan bakar minyak babi buta puluh juta lowong kerja asing hebat joko widodo bikin rakyat negara sengsara hancur,1,0,0
862,presiden keluh bupati masyarakat pulau samosir kurang kapal peri labuh langsung sanggup presiden perintah menteri hubung sedia kapal peri bagus bangun labuh,0,0,1
863,ekonomi pegang gerindra hancur negara masak saran cetak uang bayar hutang hutang utang negara bisa bilang biaya produksi cetak uang murah ekonomi comberan kecoa,1,1,0
864,98 dolar 12 000 koar koar rezim lengser tembus 15 000 jilat kuasa kasihan rakyat korban propaganda politikus busuk,1,1,0
865,pagu ajak gelut onta,1,1,0
866,ngewe,0,1,0
867,prof jeffrey musim dingin jokowi presiden lemah sejarah indonesia anisa bahas prof jeffrey musim dingin bagus analisis 2015 bahas 2019 ganti presiden,1,0,0
868,gendong sombong panggul unggul hormat rendah hati panggul presiden pasu elite tentara nasional indonesia jaga daulat negara satu republik indonesia juru,0,0,1
869,ooo partai adil sejahtera front bela islam isl,0,0,1
870,2019 pilih presiden prestasi alam hasil kerja bukti presiden,0,0,1
871,allah lindung mua goda setan kutuk,0,0,1
872,pecun kelas teri,1,1,0
873,survei lembaga kaji milu indonesia pilih kepala daerah tapanuli utara tahan sulit kalah wa a ekonomi,0,0,1
874,ahok target audit kisruh bantar gebang selesai ahok audit,0,0,1
875,dina islam mah nikah teh tau ribet gan sulit ku orang tong gengsi tong sayang kapuji orang lamun sederhana lewih loba berkah,0,0,1
876,jongos cina merdeka indonesia cina kasih,1,1,0
877,dapat profesor menang debat pilih kepala daerah jawa timur,0,0,1
878,gera 2019 ganti presiden dunia spanduk edar turki jepang jerman inggris,0,0,1
879,oh diri berengsek,0,1,0
880,hapus teroris islam efektif alquran kitab teroris,1,1,0
881,main framing urus data ekonomi paham owa,0,0,1
882,allah daniel beli micin bego lurah,1,1,0
883,nama sesuai orang yahudi aron arab harun yahudi yochanan arab yahya,0,0,1
884,mari ingat dukung perintah kelola ekonomi amp sejahtera rakyat politik susilo bambang yudhoyono,0,0,1
885,prabowo layak calon presiden layak presiden,1,0,0
886,anjir songgoriti motor dua cewek cowok langsung tawar vila,0,1,0
887,jokowi era bangun duit utang,1,0,0
888,iman allah subhanahu wa taala dungu biadab dungu biadab bangsa,1,1,0
889,klop prabowo berontak koruptor,1,0,0
890,iya habis aktif lihat lini asing suasana hati hilang,0,0,1
891,udik darah daging,1,1,0
892,baju muslim be uliskan 2019 ganti presiden 2019 prabowo presiden,1,0,0
893,kunjung presiden joko widodo karya tunai labuh ratu sukabumi desa citarik hasil ubah desa buang sampah bau kumuh wisata resap air jadi sampah produk mem,0,0,1
894,islam islam islam tambah embel embel islam nusantara teman pakai embel embel katolik nusantara protestan nusantara hindu nusantara buddha nusantara pakai embel embel sila sa,0,0,1
895,perintah kota cirebon optimis rekam 19 000 calon pilih mula status ajar,0,0,1
896,nun bom,0,0,1
897,hhhhmmm akibat korban gizi buruk salah paham,0,0,1
898,malas aduh iya admin bangsat kenal jirapuncel xogentot orang humoris goblok otak aduh homo orang,0,1,0
899,jilat vagina cewek jilat vagina gigit kelentit jilat vagina,0,1,0
900,sinden banci kocak princess aprilia amp admin onggo inggi,0,1,0
901,kitab suci turun allah anggap fiksi pakai belagu segi filsafat eh alquran fiksi alquran dasar hukum hukum islam,0,0,1
902,mobile legend babi anjing xnk kasih rank kimakkk tim noob babi bocah setan,1,1,0
903,haha cebong kafir alay goblok munafik jijik banget ih,1,1,0
904,owwwwh bokong supirnya rekan duduk besi tau haha,0,1,0
905,iya jual koh mata ih picek ta liak tas jlentrek sak tai dayak dik toko tas kulit lumpia sek kosong tas kulit kadal koh cocok lidah,1,1,0
906,kenal awal pribadi perempuan pilih kepala daerah bondowoso,0,0,1
907,destinasi piknik jauh gereja katolik bacot suka khidmat atur sah sekolah sekolah dasar katolik bina iman paham ibadah cocok,0,0,1
908,the lie tju lie tju seroja the lie tju seroja siswi sekolah dasar katolik karya yosef 1978 1983 istri ronaldo pardede the lie tju syiah oi deh gizi oi deh rode ronaldo pardede gizi,0,0,1
909,the lie tju siswi sekolah dasar katolik karya yosef kelas 6b 1983 istri ronaldo pardede sah,0,0,1
910,bandel kakek bokep bokep indo ngentot bokep asia crot bokep hot horny sange kontol boobs blowjob milf blonde cum film malam tonton bokep bokep online nurl,0,1,0
911,dukung koruptor bubar komisi berantas korupsi situ isu isu partai komunis indonesia dasar koruptor,1,0,0
912,aneh om buang sampah tempat tenggelam tempat aneh tenggelam darat,0,0,1
913,tenaga kerja asing cina manja,1,0,0
914,masuk google web blogger forum situs dewasa kasih bonus jablay abg lonte bispak bugil naked toge puting jilboobs binal bisyar ayam kampus tante girang ngewe ngentot porno naked banget pascol mania cocktribute c,0,1,0
915,nasionalis agam soedurisme insinyur soekarno nasionalis satu rakyat gus dur sosok agam satu umat agama cak sosok lanjut juang indonesia,0,0,1
916,otak silit,0,1,0
917,orang bodoh opini partai komunis indonesia bangkit presiden pintar akting citra intelijen tentara nasional indonesia bicara partai komunis indonesia bangkit,1,0,0
918,indonesia ambil alih cina boikot produk cina,1,0,0
919,ngapain komen tolol,1,1,0
920,sarap peduli bgstttttttt,1,1,0
921,mental mobil kendara taktis kawal polisi sayang banget bis lempar molotov iya kayak jalan gatot subroto mental bikin nazar nikah monyet mental rusak stadion gelora karno aset negara proyek menteri wkwk,0,1,0
922,goblok nonton acara malam beliau islam fiksi bukti video islam kafir islam banget fitnah muslim kafir heran,1,1,0
923,agama sempurna umat pintar goblok berani bicara aduh,0,1,0
924,3 klaim rezim jokowi bangga hasil distribusi 262 321 bidang luas 199 726 aset bekas hak usaha ikelir tanah lantar dasar ifikasi tanah adil tanah,0,0,1
925,,0,1,0
926,fix sinting,1,1,0
927,bahaya kata adek armando pengaruh muslim awam cuci otak ustaz nama jil perang pikir bahaya banding perang fisik kalah perang fisik syahid kalah p,0,0,1
928,mamat masuk van celah kereta lai rusak setan dasarrrr,1,1,0
929,lebaran kang,0,0,1
930,dagang islam nusantara ramai mana and moga kristen nusantara bau nusantara,0,0,1
931,cek kesiap kam pilih kepala daerah polisi resor samarinda milik mobil patroli samapta bhayangkara,0,0,1
932,1 bangsat n2 cebong n3 kecoak n4 bajing n5 tai ayam n6 anjing n7 monyet n8 cecurut n9 boraks n10 kucirap,0,1,0
933,manis butut goblok soler out herjos out,1,1,0
934,ngentot,0,1,0
935,hina malu fasilitas perintah bikin bani daster tau malu harga makan gaji negara hina haram,1,1,0
936,menteri hubung presiden jokowi ide arah proses bangun bandara ajati,0,0,1
937,cerita sang kakak kuat dari bisu suara,0,0,1
938,kabar barel oi bom allah kasihan banget indekos situ,0,0,1
939,anak pepo tampang doang bawa mana bangsa jadi foto model cebong urus biar rewel,1,1,0
940,orang kayak sekolah sekolah negeri benar agam kayak sekolah sekolah kristen mahal kayak miskin etnis,0,0,1
941,maksud didik batas helen keller wanita bisu tuli buta gelar sarjana amp prestasi steven hawking kembang ilmu lumpuh,0,0,1
942,besok prabowo calon presiden teriak teriak timpang percaya maki wa awan gaji,1,0,0
943,tabayun ngomyang cocot busuk wkwk pelihara main isu sara bangga,1,1,0
944,indonesiakuasaifreepo huni freepo bangga moga tenaga kerja asing batas tenaga kerja indonesia butuh,0,0,1
945,sabar pikir golong rakyat indonesia bentuk fisik manusia jiwa komunis golong komunis krisis sifat manusia,0,0,1
946,perek suka gagah,0,1,0
947,mohon datang nabi menang orang orang kafir,0,0,1
948,bilang kafir susah haha sel sel otak sambung susah kafir cebong orang bicara mana bicara mana maki agama islam pakai rujuk internasional haha,1,1,0
949,maksud kelas diam bicara nama otoriter,1,0,0
950,teman makan sampah makan sampah,0,0,1
951,monyet komunis tolol,1,1,0
952,presiden joko widodo instruksi badan awas uang,0,0,1
953,haha cape gua video 13 detik benar bicara kampret,0,1,0
954,kucing sipit,0,0,1
955,ratus ulama santri desak anugerah gelar pahlawan nasional kh ahmad sanusi pikir rakyat,0,0,1
956,munir kait rezim jokowi anti islam twitkan moga jelas,1,0,0
957,anak soemitro begawan ekonomi pola pikir admin gerinda kayak kuliah fakir ilmu,0,0,1
958,kerja seks komersial a is online marak bicara tyas mirasih ingat warganet warganet tyas mirasih nurl,0,0,1
959,teman lihat screenshoot an cerita istri istri curhat habis habis katai suami bajing nge mention akun suami,0,1,0
960,monyet ngebut tabrak anak wkwk,0,0,1
961,freepo kontrak habis istimewa aneh dolar tembus 15 000 diam jilat kuasa dungu tum bobrok kerja rezim,1,1,0
962,aduh tolol dukung rezim kayak,1,1,0
963,diktator jokowi jongos organisasi jagal manusia nu atur siasat kampanye,1,1,0
964,ngawur sembarang panitia khusus hambat komisi berantas korupsi lidi teman teman koruptor bubar dewan wakil rakyat sarang koruptor,1,0,0
965,sehat om sehat minum kencing onta,0,1,0
966,kirim bantu citra,1,0,0
967,eh anjing bacot tantang duel bangsat,1,1,0
968,rindu rindu berat biarin kunyuk dil tanggung,0,1,0
969,gosip orang iri sebar orang bodoh terima orang idiot,0,1,0
970,dasar kunyuk cari duit modal tipu bangsat abu,1,1,0
971,baca berita aki ganggu jiwa anda 2019 amin kalah malaikat bilang kafir pro asing kasihan malaikat nge i urus calon presiden bawa aki gila,1,1,0
972,ngoaaahahaaa saking kejang kejang bani kuda prabowo bin onta baca tulis selingkuh kuda prabowo ngoaaahahaaaa xa,1,1,0
973,cari simpati umat muslim jabar pilih presiden 2019 mudah an ulama amp umat islam jabar kesima amp pengaruh trik gaya munafik mukidi,1,0,0
974,tebar benci ahok mbak mbak tau dakwa,1,0,0
975,mampus mampus yugi mampus onta arab,1,1,0
976,terima kasih johor darul takzim alya spesifikasi bulat tudung ala ala ustazah sekolah agama,0,0,1
977,demo jilid jilid nyata kitab suci fiksi tuju utama gera bela islam jilid jilid versi 212 motif politik jatuh ahok ahok korban,1,0,0
978,tahu aku paksa orang penjara bajing kedok agama,1,1,0
979,x9cpada pagi hamba iman kepada kafir x99muthirna bi fadhlillahi wa rohmatih hujan karunia rahmat allah iman,0,0,1
980,tolak berita hoaks sukses pilih kepala daerah dami kota diri,0,0,1
981,dongok bong kampret kalabong marah marah suruh laden tetas bong bong,1,1,0
982,dukung prabowo surat pemberitahuan tahun arb sda orang orang bejat tabiat kasar orang,1,1,0
983,baca fan fiction couple straight yuri iya jatuh delusi orang preferensi baca cerita suka jadi hibur gay hak b,0,0,1
984,susilo bambang yudhoyono objektif mumpuni politis indonesia hebat kayak jokowi presiden,1,0,0
985,muslim zalim jerumus aniaya muslim,0,0,1
986,bacot album album beli pakai duit rugi emak akibat dicerahami beli album,1,1,0
987,bodoh in suka nge distract pikir pikir,0,1,0
988,nama jonru ginting status lapor ujar benci duga dukung anies sandi,1,0,0
989,bicara geblek,1,1,0
990,mm percaya orang noob,0,0,1
991,tuju usir buddha indonesia,1,0,0
992,hina islam muhammad budi suku ajar salat pahala allah subhanahu wa taala,1,0,0
993,bubar ikat alumni universitas indonesia oi,1,0,0
994,kampret antek asing,0,1,0
995,cepat islam nyata sesat sesat bank syariat,1,1,0
996,buku langka tuanku rao teror agama islam mazhab hambali tanah batak 1816 1833 1964 690 halaman hard cover minat,0,0,1
997,calon presiden tes urine badan narkotika nasional laku tes urine c informasi teknologi teknologi digital,0,0,1
998,ikut kampret,1,1,0
999,foto bera i sembunyi busa sabun so klin mawar cap buaya kibul wajar ku percaya,0,0,1
1000,gubernur tabrak etika jabat lantik gubernur dukun calon presiden senang presiden jabat lantik beliau calon gubernur dukung presiden calon gubernur,1,0,0
1001,lt strong dasar cebong dungu 7 turun lt strong,1,1,0
1002,serius berita polisi ikut politik berani tukang becak doang pakai takut power sindrom landa istana lawan tukang becak,1,0,0
1003,rezim menteri lucu,0,0,1
1004,prabowo subianto restu ketua gerindra jawa maju pilih gubernur alas,1,0,0
1005,rute pondok cina gang sentiong berangkat pe sedia 04 28 indonesia barat tks 2,0,0,1
1006,serah nasib bangsa orang orang abdi meng kacung cukong cukong asing penghianat negara satu republik indonesia modal dana kampanye 2019 ganti presiden,1,1,0
1007,era kapitalisme korporasi tumbuh gigantik kuasa kuat ekonomi lampau negara,0,0,1
1008,ekor monyet kebun binatang tianjin cina viral milik wajah sepe i manusia monyet berus,0,0,1
1009,aimu partai demokrasi indonesia juang bajing,1,1,0
1010,kaum 1 2 kafir otak junk food kelit catut islam giat giat rusak aqidah islam,1,1,0
1011,iya jokowi tinggal solo kafir solo keren bersih jokowi tinggal jakarta kafir jaka a keren sungai bersih kerja becus tanah abang ruwet parah kali,0,0,1
1012,maksud perintah hibah catat aset anggar biaya baik awat rutin,0,0,1
1013,alaaaahhhhh omong cebong tahu mana arah pakai tol kelok 1000 sok sok islam bong,1,1,0
1014,dungu biadab bangsa ajak sembah sembah allah subhanahu wa taala dungu biadab,1,1,0
1015,jokowi mundur pas,1,0,0
1016,tau war jubah jubah simak kyungsoo taehyung bias war kampang,0,1,0
1017,binatang kutuk,1,1,0
1018,bilang anti asing asing asong kafir kafir kampretttt manusia munafik suka asing impo bawang puti,1,1,0
1019,pagi amal post minum kopi gagal fokus meja makan kayu kasih taplak eh bagus lihat cangkir kopi bagus eh rak belakang suka tata display,0,0,1
1020,ayo bahasa budaya haha,0,0,1
1021,risau asuh lesbi,0,0,1
1022,dasar tolol,1,1,0
1023,hormat lacur pakde iblis betina kerja sebar hoaks nista hidup,1,1,0
1024,ganti presiden celeng langsung kelojot salah rocky gerung bilang celeng dungu stabil,1,1,0
1025,memek sodok,0,1,0
1026,pesona budaya suku kamoro papua rambah wilayah timur swiss kanton st gallen 10 04 2018,0,0,1
1027,tentu sistem metabolisme orang makan serap gampang gendut sistem serap rendah biar makan kurus,0,0,1
1028,sedia lapang kerja 24 000 orang indonesia karyawan persero batas freeport indonesia 69 75 karyawan nasional 28 05 karyawan papua a 2 2 karyawan asing freepo 51,0,0,1
1029,lang arah mana buta warna hambat si menteri presiden pas bijak,0,0,1
1030,rezim soeha o izin luas 2 5 juta hektare 1989 kontrak anyar freepo 51,0,0,1
1031,coba helikopter pakai united kingdom serang yahudi zionis,0,0,1
1032,isu partai komunis indonesia muncul semenjak tabloid obor rakyat isu fitnah jokowi turun partai komunis indonesia kembang jatuh sudut presiden jokowi romahurmuziy,0,0,1
1033,bangkai,1,1,0
1034,cnn indonesia proyek strategis presiden jokowi selesai periode kabinet kerja,0,0,1
1035,gilir sodor fakta cebong diam cebong sengsara dukung dil otak kontaminasi gerak cepat pikir waras,1,1,0
1036,siang siang enak cium pecun,0,1,0
1037,minum keras oplos lari warga akibat ekonomi sosiolog oi paulus wirutomo sebut,0,0,1
1038,anak raja anak ulama tulis imam al ghazali,0,0,1
1039,amp hukum bangkai turun babi keparat derita alami rakyat indonesia nusantara dalam bahasa adat istiadat budaya ras agama suku pimpin a,1,1,0
1040,cebong girang kibul najis bong mata picek,1,1,0
1041,takiyuddin kerusi parlemen tanding abdul had pru 14,0,0,1
1042,ayat kaji pengga kepala pancung ujung jari 8 12,1,0,0
1043,bak sampah jerman anis resmi toilet keliling gunting pita nomor induk siswa,1,0,0
1044,jodoh tang tuhan mantan tang setan,0,1,0
1045,bunyi bunyi langsung telusur back up afiliasi langsung cap antek tahu wa awan2 australia belanda papua rutin cek cek ham tau rutin,0,0,1
1046,pakar ekonomi sambut positif jokowi harry tanoe,0,0,1
1047,anda jend suha o 1965 nasib bangsa indonesia negara komunis ateis,1,0,0
1048,sanggup tangkap presiden tugas ai jujungan mangkrak jinjing,1,1,0
1049,lawan politik tebar fitnah upaya jegal prabowo maju pilih presiden 2019,1,0,0
1050,tau junjung cebong licik hamba tukang tipu,1,1,0
1051,bikin film bakar bakar sekolah citra,1,0,0
1052,mari doa tegak hukum sehat selamat gaji 13 tunjang raya limpah umum presiden angkat 200 orang orang hina agama islam duta pancasila salam hangat pip,0,0,1
